"País","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","inflación","pbi","celulares","pob_aglo","pob_ciudad","Poblacion Activa","Desempleo","Años Obligatorios de Educacion"
"Dinamarca",10,9.29,8.33,9.38,9.12,0.845682604608839,1.88489021571982,125.4530064,22.7978768427979,25.9438235351889,3014756,"4.9749999046325701",10
"Ecuador",8.75,5.36,6.11,4.38,7.65,1.81887357109558,-0.483387784029688,92.32327021,27.6345957884163,26.5861487148008,8365114,"3.5299999713897701",15
"El Salvador",9.17,4.29,5.56,3.75,7.06,2.0751836888099,1.91053750875901,146.9221022,17.2362891278643,23.9316479587026,2757089,"4.0060000419616699",15
"Emiratos Árabes Unidos",0,3.93,2.22,5,2.65,8.20653728779584,-0.320549385279065,208.5048332,59.9724700312814,33.4262581877277,6752973,"2.2290000915527299",6
"España",9.17,7.14,7.78,7.5,8.82,1.09310637486971,1.90370838533138,115.9942148,25.6235566347906,17.2849066510477,23065037,"15.2550001144409",10
"Estados Unidos",9.17,7.14,7.78,7.5,8.24,2.3596919352368,2.39109654413916,129.0140075,46.3258859113805,7.00333284743736,165483017,"3.8959999084472701",12
"Filipinas",9.17,5.71,7.22,4.38,7.06,3.74065382988688,4.86713156620144,126.1986393,14.2777061251648,26.9502658922642,43864623,"2.3380000591278098",13
"Finlandia",10,8.93,8.33,8.75,9.71,1.78724593225657,1.49536765647009,129.4685668,23.1908295221216,27.161260374759,2742737,"7.3610000610351598",10
"Francia",9.58,7.5,7.78,5.63,8.53,0.951860489887494,1.63852670152079,108.357357,22.7643326951181,20.2356418476475,30391825,"9.0590000152587908",10
"Georgia",7.83,3.57,6.11,4.38,5,4.33422522782958,4.91088036824362,136.380667,28.909669509243,49.3069864298954,2040890,"13.7849998474121",9
"Ghana",8.33,5.71,6.67,6.25,6.18,10.2102029177803,3.95866714679696,137.5171658,18.4905668363887,18.3654162432694,12611514,"4.15700006484985",11
"Grecia",9.58,5.36,6.11,6.88,8.53,0.549763603926422,2.14138550253047,115.6669118,29.4012363128561,37.1894505281076,4804346,"19.291999816894499",10
"Guatemala",7.92,5.36,3.89,4.38,6.47,1.22859662060773,1.57621700497243,118.6670871,17.4411985110372,34.1622560501293,6680520,"2.40199995040894",16
"Guinea",3.5,0.43,4.44,4.38,2.94,10.2764134263479,3.21509688980272,96.76749212,14.8467358416306,41.0811684295341,4285745,"4.2470002174377397",6
"Haití",5.58,2.93,3.89,6.25,5.88,12.7899934124778,0.199179706745653,57.52891844,23.7051270248713,42.8834760823847,4975289,"13.5920000076294",6
"Honduras",8.5,4.64,4.44,4.38,6.18,1.90807980253712,1.98232777609925,79.15031642,14.2168226576168,24.8998555376855,4499704,"5.6479997634887704",12
"Hungría",8.75,6.07,5,6.25,7.06,4.52869119976292,5.22733255137207,103.4451716,17.9989308033787,25.2258972556557,4731877,"3.7079999446868901",13
"India",9.17,6.79,7.22,5.63,7.35,4.55554436261933,5.02447333113413,86.94256319,15.4350806157941,6.19464475222521,487622021,"5.3299999237060502",8
"Indonesia",7.95,7.15,6.7,5.65,5.6,3.81974052399639,3.98405714717092,119.3387219,13.3834074123722,7.10196276396912,132737405,"4.5110001564025897",9
